,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
6218,7.65611979675981e+16,7.656119796825674e+16,31.9685988,-99.9018131,US,53.7266683,-127.6476205,CA
6219,7.65611979678621e+16,7.656119796825674e+16,41.902916,12.453389,VA,53.7266683,-127.6476205,CA
6291,7.656119796377882e+16,7.656119796827896e+16,46.227638,2.213749,FR,37.09024,-95.712891,US
6330,7.656119796028744e+16,7.656119796841096e+16,60.39126279999999,5.3220544,NO,50.503887,4.469936,BE
6356,7.656119796324784e+16,7.656119796843117e+16,-31.2532183,146.921099,AU,22.3193039,114.1693611,HK
6357,7.656119796411133e+16,7.656119796843117e+16,22.198745,113.543873,MO,22.3193039,114.1693611,HK
6358,7.656119796524402e+16,7.656119796843117e+16,22.3193039,114.1693611,HK,22.3193039,114.1693611,HK
6390,7.656119796044909e+16,7.656119796851458e+16,32.2226066,-110.9747108,US,29.7604267,-95.3698028,US
6391,7.65611979653767e+16,7.656119796851458e+16,53.5461245,-113.4938229,CA,29.7604267,-95.3698028,US
6515,7.656119796795634e+16,7.656119796865248e+16,56.26392,9.501785,DK,60.12816100000001,18.643501,SE
6556,7.656119796764466e+16,7.656119796870824e+16,35.937496,14.375416,MT,36.778261,-119.4179324,US
6627,7.656119796041861e+16,7.65611979688403e+16,29.4241219,-98.49362819999999,US,33.1031744,-96.67055030000002,US
6628,7.656119796057686e+16,7.65611979688403e+16,29.4241219,-98.49362819999999,US,33.1031744,-96.67055030000002,US
6664,7.656119796772944e+16,7.656119796886338e+16,36.778261,-119.4179324,US,61.52401,105.318756,RU
6828,7.656119796032598e+16,7.656119796918658e+16,51.4669939,-1.1853677,GB,46.227638,2.213749,FR
6829,7.65611979605104e+16,7.656119796918658e+16,45.8987972,16.8423093,HR,46.227638,2.213749,FR
6868,7.656119796045819e+16,7.656119796920011e+16,28.5383355,-81.3792365,US,37.09024,-95.712891,US
6869,7.656119796775064e+16,7.656119796920011e+16,37.7749295,-122.4194155,US,37.09024,-95.712891,US
6895,7.656119796582317e+16,7.656119796920491e+16,54.52361,-1.559458,GB,37.09024,-95.712891,US
6917,7.656119796071458e+16,7.656119796931576e+16,52.727049,10.7334363,DE,52.52000659999999,13.404954,DE
6926,7.656119796043469e+16,7.65611979693375e+16,-40.900557,174.885971,NZ,-40.900557,174.885971,NZ
6927,7.656119796152531e+16,7.65611979693375e+16,-40.900557,174.885971,NZ,-40.900557,174.885971,NZ
6928,7.6561197965378e+16,7.65611979693375e+16,-40.900557,174.885971,NZ,-40.900557,174.885971,NZ
6935,7.656119796476504e+16,7.656119796928531e+16,41.2333896,-80.44868,US,33.836081,-81.1637245,US
6941,7.6561197960794e+16,7.656119796927979e+16,36.778261,-119.4179324,US,45.5051064,-122.6750261,US
6963,7.656119796225606e+16,7.656119796940078e+16,43.9124756,12.9155494,IT,41.9027835,12.4963655,IT
6964,7.65611979628464e+16,7.656119796940078e+16,41.9027835,12.4963655,IT,41.9027835,12.4963655,IT
6965,7.656119796662293e+16,7.656119796940078e+16,45.4182583,12.0945837,IT,41.9027835,12.4963655,IT
6966,7.656119796799573e+16,7.656119796940078e+16,41.87194,12.56738,IT,41.9027835,12.4963655,IT
6981,7.656119796038472e+16,7.656119796936448e+16,37.09024,-95.712891,US,37.09024,-95.712891,US
7000,7.656119796114398e+16,7.656119796935541e+16,27.6648274,-81.5157535,US,47.6739881,-122.121512,US
7001,7.656119796493978e+16,7.656119796935541e+16,42.4439614,-76.5018807,US,47.6739881,-122.121512,US
7002,7.65611979665249e+16,7.656119796935541e+16,51.4669939,-1.1853677,GB,47.6739881,-122.121512,US
7041,7.65611979618762e+16,7.656119796946968e+16,41.87194,12.56738,IT,46.0801447,13.433127,IT
7075,7.656119796242429e+16,7.65611979695829e+16,25.0796514,121.234217,TW,56.130366,-106.346771,CA
7076,7.656119796596069e+16,7.65611979695829e+16,30.267153,-97.7430608,US,56.130366,-106.346771,CA
7087,7.656119796250085e+16,7.656119796962363e+16,-23.5505199,-46.63330939999999,BR,-27.5986393,-48.5187229,BR
7088,7.656119796900317e+16,7.656119796962363e+16,36.1699412,-115.1398296,US,-27.5986393,-48.5187229,BR
7117,7.65611979604526e+16,7.656119796954584e+16,37.4315734,-78.6568942,US,38.4495688,-78.8689155,US
7148,7.65611979604907e+16,7.656119796966691e+16,56.04004270000001,10.088119,DK,56.162939,10.203921,DK
7160,7.656119796466453e+16,7.656119796969301e+16,49.0459869,3.40262,FR,48.856614,2.3522219,FR
7244,7.656119796591894e+16,7.656119796994147e+16,45.5051064,-122.6750261,US,45.5016889,-73.567256,CA
7245,7.656119796662443e+16,7.656119796994147e+16,56.130366,-106.346771,CA,45.5016889,-73.567256,CA
7257,7.656119796122392e+16,7.65611979699023e+16,47.7559659,-122.3456972,US,40.7127753,-74.0059728,US
7279,7.656119796603648e+16,7.656119796988238e+16,19.0759837,72.8776559,IN,22.8045665,86.2028754,IN
7317,7.65611979643588e+16,7.65611979700188e+16,21.0190145,-101.2573586,MX,-2.1894128,-79.8890662,EC
7349,7.656119796045456e+16,7.656119796998904e+16,42.1103041,-88.03424000000001,US,43.100903,-75.232664,US
7350,7.656119796463677e+16,7.656119796998904e+16,39.7589478,-84.1916069,US,43.100903,-75.232664,US
7387,7.65611979674521e+16,7.656119797011546e+16,43.513006,4.987968,FR,60.1785247,19.9156105,AX
7414,7.656119796544738e+16,7.656119797020536e+16,52.132633,5.291265999999999,NL,-25.274398,133.775136,AU
7514,7.656119796369706e+16,7.656119797031923e+16,52.132633,5.291265999999999,NL,37.09024,-95.712891,US
7515,7.656119796443125e+16,7.656119797031923e+16,40.7127753,-74.0059728,US,37.09024,-95.712891,US
7522,7.656119796142485e+16,7.656119797032341e+16,-30.0002315,136.2091547,AU,53.9332706,-116.5765035,CA
7543,7.656119796502434e+16,7.656119797030395e+16,19.2823192,166.647047,UM,32.3546679,-89.3985283,US
7713,7.656119796046613e+16,7.65611979704959e+16,37.09024,-95.712891,US,-18.9216386,32.174605,ZW
7714,7.656119796078432e+16,7.65611979704959e+16,30.6696818,-81.46259189999999,US,-18.9216386,32.174605,ZW
7741,7.656119796664611e+16,7.656119797049563e+16,46.729553,-94.6858998,US,47.7510741,-120.7401385,US
7742,7.656119796945358e+16,7.656119797049563e+16,45.5051064,-122.6750261,US,47.7510741,-120.7401385,US
