,appid,total_playtime,appname,lat,lon,country
23311,238460,258,BattleBlock Theater,37.09024,-95.712891,US
23316,730,163,Counter-Strike: Global Offensive,37.09024,-95.712891,US
23336,377160,210,Fallout 4,37.09024,-95.712891,US
23338,413150,8359,Stardew Valley,37.09024,-95.712891,US
23353,239140,977,Dying Light,37.09024,-95.712891,US
23371,431240,379,Golf With Your Friends,37.09024,-95.712891,US
23378,240,363,Counter-Strike: Source,59.1489544,6.0143432,NO
23403,4000,403,Garry's Mod,59.1489544,6.0143432,NO
23406,220,803,Half-Life 2,59.1489544,6.0143432,NO
23412,380,162,Half-Life 2: Episode One,59.1489544,6.0143432,NO
23418,400,73,Portal,59.1489544,6.0143432,NO
23421,420,391,Half-Life 2: Episode Two,59.1489544,6.0143432,NO
23428,10500,4686,Total War: EMPIRE - Definitive Edition,59.1489544,6.0143432,NO
23429,10680,314,Aliens vs. Predator,59.1489544,6.0143432,NO
23436,40100,166,Supreme Commander 2,59.1489544,6.0143432,NO
23437,35140,528,Batman: Arkham Asylum GOTY Edition,59.1489544,6.0143432,NO
23441,50130,51,Mafia II (Classic),59.1489544,6.0143432,NO
23443,8930,4210,Sid Meier's Civilization V,59.1489544,6.0143432,NO
23456,8980,321,Borderlands GOTY,59.1489544,6.0143432,NO
23470,34330,6021,Total War: SHOGUN 2,59.1489544,6.0143432,NO
23481,42910,157,Magicka,59.1489544,6.0143432,NO
23496,620,2099,Portal 2,59.1489544,6.0143432,NO
23512,20920,155,The Witcher 2: Assassins of Kings Enhanced Edition,59.1489544,6.0143432,NO
23514,97000,493,Solar 2,59.1489544,6.0143432,NO
23518,48000,121,LIMBO,59.1489544,6.0143432,NO
23520,113200,227,The Binding of Isaac,59.1489544,6.0143432,NO
23529,32800,90,The Lord of the Rings: War in the North,59.1489544,6.0143432,NO
23534,72850,3662,The Elder Scrolls V: Skyrim,59.1489544,6.0143432,NO
23546,110800,191,L.A. Noire,59.1489544,6.0143432,NO
23552,207610,1058,The Walking Dead,59.1489544,6.0143432,NO
23576,98300,243,Toy Soldiers,59.1489544,6.0143432,NO
23580,63380,70,Sniper Elite V2,59.1489544,6.0143432,NO
23590,200170,1118,Worms Revolution,59.1489544,6.0143432,NO
23600,200010,89,Quantum Conundrum,59.1489544,6.0143432,NO
23602,91310,118,Dead Island,59.1489544,6.0143432,NO
23604,49520,1766,Borderlands 2,59.1489544,6.0143432,NO
23616,207750,31,Symphony,59.1489544,6.0143432,NO
23621,204840,11,Babel Rising,59.1489544,6.0143432,NO
23622,209270,82,Hero Academy,59.1489544,6.0143432,NO
23630,730,47438,Counter-Strike: Global Offensive,59.1489544,6.0143432,NO
23740,205650,74,The Testament of Sherlock Holmes,59.1489544,6.0143432,NO
23742,200710,1864,Torchlight II,59.1489544,6.0143432,NO
23782,220260,1255,Farming Simulator 2013,59.1489544,6.0143432,NO
23783,205100,47,Dishonored,59.1489544,6.0143432,NO
23784,211400,28,Deadlight,59.1489544,6.0143432,NO
23792,42170,18,Krater,59.1489544,6.0143432,NO
23793,201790,487,Orcs Must Die! 2,59.1489544,6.0143432,NO
23798,218680,294,Scribblenauts Unlimited,59.1489544,6.0143432,NO
23804,203140,92,Hitman: Absolution,59.1489544,6.0143432,NO
23813,214510,3249,LEGO® The Lord of the Rings™,59.1489544,6.0143432,NO
23827,224540,48,Ace of Spades,59.1489544,6.0143432,NO
23828,221810,177,The Cave,59.1489544,6.0143432,NO
23830,8870,209,BioShock Infinite,59.1489544,6.0143432,NO
23833,230050,42,DLC Quest,59.1489544,6.0143432,NO
23838,233720,32,Surgeon Simulator,59.1489544,6.0143432,NO
23840,231430,6517,Company of Heroes 2,59.1489544,6.0143432,NO
23890,113020,310,Monaco,59.1489544,6.0143432,NO
23892,211180,20,Unmechanical,59.1489544,6.0143432,NO
23893,222730,120,Reus,59.1489544,6.0143432,NO
23903,218620,2932,PAYDAY 2,59.1489544,6.0143432,NO
23930,229890,129,Joe Danger,59.1489544,6.0143432,NO
23933,233250,1582,Planetary Annihilation,59.1489544,6.0143432,NO
23937,208140,70,ENDLESS™ Space - Definitive Edition,59.1489544,6.0143432,NO
23938,246900,373,Viscera Cleanup Detail,59.1489544,6.0143432,NO
23941,244030,396,Take On Mars,59.1489544,6.0143432,NO
23950,248820,377,Risk of Rain,59.1489544,6.0143432,NO
23954,239350,201,Spelunky,59.1489544,6.0143432,NO
23955,239820,913,Game Dev Tycoon,59.1489544,6.0143432,NO
23970,2870,1508,X Rebirth,59.1489544,6.0143432,NO
23972,207140,691,SpeedRunners,59.1489544,6.0143432,NO
23983,251890,25,World of Diving,59.1489544,6.0143432,NO
23988,252450,40,StarDrive 2,59.1489544,6.0143432,NO
23989,252950,804,Rocket League,59.1489544,6.0143432,NO
24016,214950,2177,Total War: ROME II - Emperor Edition,59.1489544,6.0143432,NO
24030,107410,449,Arma 3,59.1489544,6.0143432,NO
24032,227300,2348,Euro Truck Simulator 2,59.1489544,6.0143432,NO
24038,245620,314,Tropico 5,59.1489544,6.0143432,NO
24043,221910,187,The Stanley Parable,59.1489544,6.0143432,NO
24047,261570,58,Ori and the Blind Forest,59.1489544,6.0143432,NO
24052,263280,1094,Spintires®,59.1489544,6.0143432,NO
24065,263760,23,Turbo Dismount,59.1489544,6.0143432,NO
24066,264240,71,CONSORTIUM,59.1489544,6.0143432,NO
24069,270880,730,American Truck Simulator,59.1489544,6.0143432,NO
24074,271590,5985,Grand Theft Auto V,59.1489544,6.0143432,NO
24087,200510,6030,XCOM: Enemy Unknown,59.1489544,6.0143432,NO
24106,213670,500,South Park™: The Stick of Truth™,59.1489544,6.0143432,NO
24116,282070,7070,This War of Mine,59.1489544,6.0143432,NO
24128,246620,453,Plague Inc: Evolved,59.1489544,6.0143432,NO
24144,282140,678,SOMA,59.1489544,6.0143432,NO
24154,236430,34,DARK SOULS™ II,59.1489544,6.0143432,NO
24156,287980,133,Mini Metro,59.1489544,6.0143432,NO
24160,288160,188,The Room,59.1489544,6.0143432,NO
24165,233290,62,MURDERED: SOUL SUSPECT™,59.1489544,6.0143432,NO
24173,289950,1042,Construction-Simulator 2015,59.1489544,6.0143432,NO
24182,286160,16155,Tabletop Simulator,59.1489544,6.0143432,NO
24197,237930,82,Transistor,59.1489544,6.0143432,NO
24200,300610,24,Pure Pool,59.1489544,6.0143432,NO
24205,244160,394,Homeworld Remastered Collection,59.1489544,6.0143432,NO
24208,238090,135,Sniper Elite 3,59.1489544,6.0143432,NO
24209,305620,14411,The Long Dark,59.1489544,6.0143432,NO
24215,313160,3992,Farming Simulator 15,59.1489544,6.0143432,NO
24219,226580,22,F1 2014,59.1489544,6.0143432,NO
24221,241930,842,Middle-earth™: Shadow of Mordor™,59.1489544,6.0143432,NO
24229,265550,80,Dead Rising 3,59.1489544,6.0143432,NO
24238,323060,42,Tharsis,59.1489544,6.0143432,NO
24239,241260,522,Sherlock Holmes: Crimes and Punishments,59.1489544,6.0143432,NO
24251,214490,2531,Alien: Isolation,59.1489544,6.0143432,NO
24293,239140,2648,Dying Light,59.1489544,6.0143432,NO
24317,238320,248,Outlast,59.1489544,6.0143432,NO
24322,327890,174,I Am Bread,59.1489544,6.0143432,NO
24324,65980,366,Sid Meier's Civilization: Beyond Earth,59.1489544,6.0143432,NO
24327,334230,72,Town of Salem,59.1489544,6.0143432,NO
24328,322920,97,theHunter: Primal,59.1489544,6.0143432,NO
24333,319630,363,Life is Strange™,59.1489544,6.0143432,NO
24343,341800,584,Keep Talking and Nobody Explodes,59.1489544,6.0143432,NO
24349,343710,136,KHOLAT,59.1489544,6.0143432,NO
24351,325610,174,Total War: ATTILA,59.1489544,6.0143432,NO
24357,346900,1039,AdVenture Capitalist,59.1489544,6.0143432,NO
24358,292030,1678,The Witcher 3: Wild Hunt,59.1489544,6.0143432,NO
24360,355630,81,Leo's Fortune,59.1489544,6.0143432,NO
24368,255710,5729,Cities: Skylines,59.1489544,6.0143432,NO
24383,361280,330,Turmoil,59.1489544,6.0143432,NO
24384,362680,64,Fran Bow,59.1489544,6.0143432,NO
24385,363970,74,Clicker Heroes,59.1489544,6.0143432,NO
24395,234630,762,Project CARS,59.1489544,6.0143432,NO
24402,365450,1802,Hacknet,59.1489544,6.0143432,NO
24407,370360,34,TIS-100,59.1489544,6.0143432,NO
24408,373390,43,Contradiction - the all-video murder mystery adventure,59.1489544,6.0143432,NO
24410,374320,164,DARK SOULS™ III,59.1489544,6.0143432,NO
24413,375820,78,Human Resource Machine,59.1489544,6.0143432,NO
24414,377160,1276,Fallout 4,59.1489544,6.0143432,NO
24418,236870,1012,HITMAN™,59.1489544,6.0143432,NO
24434,386070,255,Planetary Annihilation: TITANS,59.1489544,6.0143432,NO
24435,388080,134943,Borderless Gaming,59.1489544,6.0143432,NO
24436,287700,7173,METAL GEAR SOLID V: THE PHANTOM PAIN,59.1489544,6.0143432,NO
24457,311340,294,METAL GEAR SOLID V: GROUND ZEROES,59.1489544,6.0143432,NO
24462,403190,345,Planetbase,59.1489544,6.0143432,NO
24466,354160,76,WRC 5,59.1489544,6.0143432,NO
24476,225540,142,Just Cause 3,59.1489544,6.0143432,NO
24480,268500,12714,XCOM 2,59.1489544,6.0143432,NO
24507,431240,165,Golf With Your Friends,59.1489544,6.0143432,NO
24514,391220,326,Rise of the Tomb Raider,59.1489544,6.0143432,NO
24520,244930,60,SNOW,59.1489544,6.0143432,NO
24523,394230,918,Battleborn,59.1489544,6.0143432,NO
24529,312660,170,Sniper Elite 4,59.1489544,6.0143432,NO
24531,240,72920,Counter-Strike: Source,25.790654,-80.1300455,US
24655,300,1866,Day of Defeat: Source,25.790654,-80.1300455,US
24660,220,1357,Half-Life 2,25.790654,-80.1300455,US
24672,380,221,Half-Life 2: Episode One,25.790654,-80.1300455,US
24679,1520,198,DEFCON,25.790654,-80.1300455,US
24680,4000,18577,Garry's Mod,25.790654,-80.1300455,US
24693,3590,325,Plants vs. Zombies: Game of the Year,25.790654,-80.1300455,US
24696,550,1196,Left 4 Dead 2,25.790654,-80.1300455,US
24713,48700,2830,Mount & Blade: Warband,25.790654,-80.1300455,US
24730,22380,92,Fallout: New Vegas,25.790654,-80.1300455,US
24731,40800,129,Super Meat Boy,25.790654,-80.1300455,US
24733,400,135,Portal,25.790654,-80.1300455,US
24739,620,1002,Portal 2,25.790654,-80.1300455,US
24763,105600,3007,Terraria,25.790654,-80.1300455,US
24775,22230,211,Rock of Ages,25.790654,-80.1300455,US
24785,48000,354,LIMBO,25.790654,-80.1300455,US
24788,72850,1824,The Elder Scrolls V: Skyrim,25.790654,-80.1300455,US
24801,1250,3831,Killing Floor,25.790654,-80.1300455,US
24840,204360,184,Castle Crashers,25.790654,-80.1300455,US
24842,214510,35,LEGO® The Lord of the Rings™,25.790654,-80.1300455,US
24843,224540,345,Ace of Spades,25.790654,-80.1300455,US
24850,230410,499,Warframe,25.790654,-80.1300455,US
24861,236390,3125,War Thunder,25.790654,-80.1300455,US
24871,262410,15,World of Guns: Gun Disassembly,25.790654,-80.1300455,US
24874,107410,17771,Arma 3,25.790654,-80.1300455,US
24879,204450,600,Call of Juarez Gunslinger,25.790654,-80.1300455,US
24892,214950,2361,Total War: ROME II - Emperor Edition,25.790654,-80.1300455,US
24908,221910,54,The Stanley Parable,25.790654,-80.1300455,US
24911,271590,2336,Grand Theft Auto V,25.790654,-80.1300455,US
24916,285160,193,LEGO® The Hobbit™,25.790654,-80.1300455,US
24919,287390,717,Metro: Last Light Redux,25.790654,-80.1300455,US
24944,49600,45,Beat Hazard,25.790654,-80.1300455,US
24947,304930,641,Unturned,25.790654,-80.1300455,US
24954,238090,207,Sniper Elite 3,25.790654,-80.1300455,US
24955,63380,652,Sniper Elite V2,25.790654,-80.1300455,US
24967,310560,830,DiRT Rally,25.790654,-80.1300455,US
24989,241930,1032,Middle-earth™: Shadow of Mordor™,25.790654,-80.1300455,US
25005,258520,572,The Vanishing of Ethan Carter,25.790654,-80.1300455,US
25019,730,124581,Counter-Strike: Global Offensive,25.790654,-80.1300455,US
25186,282070,1255,This War of Mine,25.790654,-80.1300455,US
25199,232090,1417,Killing Floor 2,25.790654,-80.1300455,US
25210,362890,11796,Black Mesa,25.790654,-80.1300455,US
25217,363970,235,Clicker Heroes,25.790654,-80.1300455,US
25227,364690,1,SUPER DISTRO,25.790654,-80.1300455,US
25232,377160,5743,Fallout 4,25.790654,-80.1300455,US
25259,299360,18,Block N Load,25.790654,-80.1300455,US
25263,239140,1638,Dying Light,25.790654,-80.1300455,US
25277,319630,24,Life is Strange™,25.790654,-80.1300455,US
25278,270130,40,The Gallery - Episode 1: Call of the Starseed,25.790654,-80.1300455,US
25280,249050,597,Dungeon of the ENDLESS™,25.790654,-80.1300455,US
25282,218620,346,PAYDAY 2,25.790654,-80.1300455,US
